order_id,customer_id,order_date,status,payment_method
39,726,2024-11-03 18:59:54,completed,bank_transfer
40,378,2024-12-22 17:54:59,cancelled,gift_card
41,1287,2024-06-25 06:14:05,completed,debit_card
42,1302,2023-01-10 17:01:46,completed,bank_transfer
43,691,2024-09-12 21:04:25,completed,credit_card
44,1767,2024-05-01 10:22:04,completed,paypal
45,2103,2022-12-15 06:47:44,completed,credit_card
46,1745,2024-10-08 08:26:00,pending,bank_transfer
47,1305,2024-04-16 01:03:41,completed,paypal
48,488,2023-09-10 17:24:54,cancelled,credit_card
49,1541,2024-09-16 05:13:45,completed,paypal
50,1500,2022-01-31 12:11:55,returned,gift_card
51,67,2022-11-21 04:37:09,completed,debit_card
52,271,2023-10-19 10:19:27,completed,gift_card
53,2229,2023-12-10 16:17:45,completed,gift_card
54,320,2022-05-11 22:51:29,cancelled,gift_card
55,631,2022-09-23 11:39:18,returned,bank_transfer
56,3,2024-03-27 23:25:51,completed,paypal
57,2332,2024-03-21 01:06:55,cancelled,credit_card
58,1100,2023-05-30 06:38:47,returned,gift_card
59,2182,2024-12-28 09:48:11,pending,gift_card
60,1407,2024-02-01 06:06:18,returned,paypal
61,436,2024-03-12 13:26:35,completed,credit_card
62,1984,2023-01-25 01:42:25,completed,bank_transfer
63,1719,2024-07-07 19:05:50,completed,paypal
64,1450,2022-12-30 16:37:31,completed,bank_transfer
65,963,2024-12-12 19:10:46,returned,debit_card
66,2391,2024-11-03 15:07:42,pending,gift_card
67,1146,2024-06-06 23:01:00,completed,bank_transfer
68,487,2024-01-07 15:35:12,completed,credit_card
69,1526,2024-02-10 08:21:30,returned,paypal
70,475,2024-11-13 11:52:06,pending,debit_card
71,1744,2024-01-27 06:37:54,cancelled,credit_card
72,2403,2024-10-01 05:14:43,completed,paypal
73,687,2024-05-30 10:28:57,completed,credit_card
74,587,2022-01-15 22:49:30,completed,bank_transfer
75,1702,2023-12-21 17:49:24,completed,paypal
76,1488,2024-08-16 22:51:18,completed,gift_card
77,370,2024-06-18 16:30:50,completed,bank_transfer
78,1801,2022-09-05 23:29:56,completed,paypal
79,2313,2024-09-03 21:12:36,completed,credit_card
80,877,2024-04-23 06:13:58,completed,gift_card
81,1312,2023-10-28 11:12:58,completed,gift_card
82,1611,2023-08-17 08:59:52,completed,bank_transfer
83,478,2023-01-05 16:16:06,returned,bank_transfer
84,2159,2024-06-20 04:05:47,completed,gift_card
85,223,2023-01-21 06:18:30,completed,credit_card
86,1908,2024-11-28 18:19:49,returned,bank_transfer
87,250,2022-03-24 07:21:15,completed,debit_card
88,1136,2024-12-31 07:01:17,completed,bank_transfer
89,645,2022-08-30 16:45:38,completed,gift_card
90,558,2024-05-27 12:29:09,cancelled,bank_transfer
91,1235,2024-12-02 03:46:22,completed,debit_card
92,2150,2023-03-12 12:16:31,pending,credit_card
93,1503,2023-12-18 13:51:12,pending,credit_card
94,582,2023-07-19 06:56:42,completed,debit_card
95,640,2024-04-08 05:07:40,completed,credit_card
96,350,2024-06-02 15:31:02,pending,bank_transfer
97,439,2023-12-03 11:37:49,completed,paypal
98,1850,2024-01-25 15:24:28,pending,debit_card
99,1030,2024-09-09 03:52:29,completed,debit_card
100,1690,2024-09-23 08:22:07,completed,gift_card
101,1835,2023-12-30 05:23:35,returned,credit_card
102,1129,2024-06-04 10:55:52,completed,gift_card
103,2178,2024-02-28 16:16:05,completed,gift_card
104,2487,2024-05-20 05:42:03,pending,gift_card
105,2414,2023-08-18 02:28:08,pending,credit_card
106,81,2024-04-28 23:51:05,completed,bank_transfer
107,1105,2024-05-06 00:06:36,completed,paypal
108,2019,2024-10-22 08:08:38,cancelled,credit_card
109,2280,2023-08-23 03:42:56,completed,gift_card
110,1082,2023-08-03 15:41:04,pending,paypal
111,703,2023-12-31 03:14:28,completed,credit_card
112,1821,2022-02-15 19:34:11,returned,bank_transfer
113,2209,2022-12-20 02:14:49,pending,credit_card
114,737,2023-03-12 13:50:40,returned,credit_card
115,647,2024-11-12 18:11:34,cancelled,bank_transfer
116,617,2024-08-06 14:16:33,returned,gift_card
117,2261,2023-05-24 06:26:43,completed,debit_card
118,1728,2023-08-03 22:12:10,completed,gift_card
119,2298,2024-05-28 03:43:16,completed,paypal
120,1128,2024-10-22 19:54:18,completed,credit_card
121,1786,2023-12-13 09:24:46,completed,gift_card
122,260,2022-07-02 10:55:08,completed,paypal
123,1043,2023-10-20 20:15:14,returned,credit_card
124,1757,2024-05-05 23:40:34,completed,paypal
125,2205,2022-03-27 19:54:17,returned,credit_card
126,2206,2023-12-21 21:10:53,completed,bank_transfer
127,202,2022-08-15 04:31:08,returned,paypal
128,254,2023-04-11 21:41:59,returned,bank_transfer
129,2345,2023-09-09 04:56:50,completed,bank_transfer
130,1815,2023-03-15 19:34:13,completed,bank_transfer
131,1514,2023-06-13 14:43:30,completed,paypal
132,1205,2024-07-06 16:27:14,completed,gift_card
133,1029,2024-10-10 18:49:33,cancelled,gift_card
134,1674,2024-04-22 05:58:30,cancelled,gift_card
135,938,2024-09-07 12:27:26,completed,gift_card
136,1436,2024-08-03 23:08:23,completed,debit_card
137,574,2023-02-01 05:36:46,cancelled,gift_card
138,348,2024-07-12 15:57:40,pending,gift_card
139,1945,2023-12-26 00:27:33,cancelled,bank_transfer
140,171,2023-06-07 11:58:36,cancelled,paypal
141,1093,2023-04-15 12:03:07,pending,paypal
142,1473,2024-03-23 09:32:06,completed,credit_card
143,1313,2023-12-25 23:26:04,returned,credit_card
144,2208,2024-10-30 14:03:13,pending,bank_transfer
145,545,2024-10-24 03:48:37,completed,gift_card
146,928,2024-10-10 16:22:00,completed,bank_transfer
147,2252,2024-10-06 01:05:43,completed,paypal
148,123,2024-01-01 22:59:16,returned,bank_transfer
149,2091,2023-07-25 17:34:13,completed,gift_card
150,1656,2023-01-09 00:07:39,completed,debit_card
151,1156,2023-01-26 16:16:31,returned,debit_card
152,62,2024-09-24 20:27:02,pending,paypal
153,1881,2022-02-01 19:13:20,completed,bank_transfer
154,298,2024-01-16 01:06:55,completed,bank_transfer
155,357,2022-09-29 15:42:52,cancelled,debit_card
156,2342,2024-01-25 05:04:05,completed,gift_card
157,2000,2023-08-31 14:01:15,returned,paypal
158,1956,2023-11-16 18:38:58,returned,credit_card
159,1992,2022-12-30 11:36:46,completed,bank_transfer
160,1,2022-02-06 01:48:44,completed,gift_card
161,866,2022-10-06 10:08:16,pending,gift_card
162,1973,2024-03-16 02:08:42,pending,debit_card
163,135,2024-08-04 02:34:50,pending,gift_card
164,1341,2023-08-24 08:15:53,pending,paypal
165,2109,2024-12-14 05:08:34,completed,paypal
166,282,2024-08-17 10:48:18,completed,debit_card
167,2236,2024-06-10 01:25:01,cancelled,gift_card
168,725,2023-10-14 08:17:44,completed,debit_card
169,1840,2023-11-19 12:49:54,completed,debit_card
170,2079,2023-08-27 03:26:59,returned,credit_card
171,726,2023-07-20 23:04:39,completed,gift_card
172,1286,2024-11-18 20:36:12,completed,credit_card
173,1309,2022-08-16 12:16:45,completed,paypal
174,2256,2022-04-12 12:53:01,cancelled,bank_transfer
175,2372,2022-08-31 00:06:33,completed,debit_card
176,1165,2022-05-12 02:37:18,returned,debit_card
177,998,2023-08-01 20:38:48,completed,paypal
178,2333,2022-01-27 23:27:06,completed,gift_card
179,1962,2024-10-22 09:43:23,cancelled,paypal
180,644,2023-11-16 11:56:43,completed,paypal
181,1555,2023-10-04 09:17:16,completed,gift_card
182,766,2022-11-03 07:58:03,pending,paypal
183,164,2024-09-10 15:21:20,pending,credit_card
184,478,2022-07-01 13:58:55,completed,gift_card
185,1371,2023-10-16 12:09:48,pending,bank_transfer
186,1277,2022-12-10 14:23:25,completed,paypal
187,2256,2022-01-13 06:35:15,completed,gift_card
188,1500,2022-07-13 15:47:30,completed,credit_card
189,686,2024-12-18 03:25:46,completed,bank_transfer
190,885,2022-05-18 19:56:00,completed,bank_transfer
191,937,2023-10-19 05:39:40,completed,debit_card
192,540,2024-09-14 19:06:39,cancelled,credit_card
193,519,2022-01-27 04:38:42,completed,paypal
194,1622,2023-03-31 00:06:18,cancelled,credit_card
195,1630,2022-07-16 22:14:58,returned,paypal
196,368,2023-10-30 02:41:42,completed,debit_card
197,1016,2023-07-20 02:26:06,returned,gift_card
198,1663,2024-01-27 15:12:26,pending,gift_card
199,248,2023-09-13 21:09:40,completed,debit_card
200,1255,2023-01-22 08:10:54,returned,gift_card
201,531,2022-12-12 14:01:47,completed,gift_card
202,2187,2024-10-06 21:37:52,cancelled,bank_transfer
203,347,2024-02-18 09:35:59,completed,paypal
204,1498,2023-09-26 13:16:38,returned,paypal
205,987,2022-07-11 02:51:53,cancelled,debit_card
206,1099,2024-10-04 23:08:46,completed,paypal
207,2060,2024-03-12 02:18:53,completed,paypal
208,2359,2024-02-20 14:27:25,completed,gift_card
209,982,2024-01-24 21:25:36,completed,debit_card
210,1085,2023-02-14 09:01:21,pending,paypal
211,582,2022-09-04 02:53:27,completed,bank_transfer
212,2071,2024-08-01 09:27:27,completed,gift_card
213,104,2024-12-12 14:57:40,pending,debit_card
214,625,2024-06-18 19:33:06,completed,credit_card
215,109,2024-08-28 10:57:48,completed,bank_transfer
216,632,2024-06-09 14:13:38,completed,credit_card
217,1443,2024-10-05 07:45:45,completed,paypal
218,2472,2023-12-06 00:03:06,completed,debit_card
219,495,2024-11-01 05:46:01,pending,paypal
220,911,2023-01-10 03:15:49,pending,gift_card
221,888,2024-07-06 05:09:24,completed,bank_transfer
222,1418,2024-08-01 20:36:36,completed,paypal
223,1383,2023-03-09 13:31:45,cancelled,credit_card
224,2290,2023-10-05 04:26:34,cancelled,bank_transfer
225,715,2024-08-17 02:05:14,returned,debit_card
226,714,2024-12-20 22:47:58,cancelled,credit_card
227,375,2024-02-09 21:34:10,completed,bank_transfer
228,3,2022-10-08 00:39:40,completed,paypal
229,1260,2024-01-07 07:20:48,returned,paypal
230,1982,2023-04-19 02:54:33,pending,bank_transfer
231,473,2022-07-07 22:56:10,pending,gift_card
232,2369,2023-11-17 06:36:54,completed,credit_card
233,1430,2024-09-22 13:46:03,completed,debit_card
234,1621,2023-09-20 11:15:25,returned,gift_card
235,1748,2024-12-15 01:13:46,completed,debit_card
236,816,2022-03-19 21:26:23,cancelled,gift_card
237,1896,2024-04-26 07:30:49,completed,debit_card
238,2293,2023-11-18 22:16:19,completed,debit_card
239,2413,2024-01-25 22:07:01,completed,debit_card
240,1680,2024-01-04 00:37:31,returned,bank_transfer
241,2480,2024-09-03 07:57:22,returned,bank_transfer
242,2339,2024-07-09 04:41:59,completed,paypal
243,2125,2023-12-14 07:00:59,completed,gift_card
244,1773,2023-10-29 13:53:24,completed,paypal
245,2437,2024-03-13 06:55:44,completed,bank_transfer
246,324,2024-09-03 22:11:26,completed,credit_card
247,1625,2024-07-16 08:03:24,completed,credit_card
248,752,2023-01-26 14:49:58,completed,paypal
249,1666,2023-03-02 23:53:06,completed,credit_card
250,1624,2024-07-20 19:40:14,pending,credit_card
251,1150,2024-03-12 21:12:38,completed,paypal
252,670,2022-11-28 20:21:20,returned,debit_card
253,958,2023-11-25 04:57:44,completed,paypal
254,941,2022-07-06 07:59:25,completed,debit_card
255,1793,2024-05-24 05:10:11,pending,gift_card
256,321,2022-12-21 08:24:15,cancelled,bank_transfer
257,521,2024-07-03 10:46:37,completed,credit_card
258,1951,2024-10-11 11:41:29,pending,debit_card
259,1922,2022-10-31 12:21:36,returned,credit_card
260,1406,2024-06-27 14:21:08,pending,bank_transfer
261,1014,2024-09-13 09:04:10,cancelled,paypal
262,966,2024-06-25 12:37:16,cancelled,bank_transfer
263,148,2023-04-07 21:46:55,completed,debit_card
264,449,2024-10-08 03:42:52,completed,paypal
265,2284,2024-07-19 06:37:07,completed,credit_card
266,1567,2023-01-29 07:06:38,cancelled,credit_card
267,681,2022-01-22 13:37:25,returned,gift_card
268,2449,2023-10-11 15:04:38,completed,debit_card
269,1470,2024-09-24 05:35:34,completed,gift_card
270,549,2022-03-12 23:48:56,completed,bank_transfer
271,632,2024-10-18 14:52:36,completed,bank_transfer
272,2205,2022-03-24 01:35:15,completed,bank_transfer
273,709,2022-06-06 13:32:53,cancelled,debit_card
274,35,2023-01-25 21:13:15,completed,bank_transfer
275,548,2022-03-01 01:33:01,pending,gift_card
276,1968,2023-07-10 11:25:14,returned,debit_card
277,578,2024-06-12 05:16:23,completed,credit_card
278,1037,2024-05-08 07:53:57,pending,credit_card
279,459,2022-07-04 17:09:02,pending,bank_transfer
280,816,2022-08-16 20:00:30,completed,credit_card
281,689,2022-01-05 02:16:17,completed,debit_card
282,2313,2024-12-26 22:15:45,completed,credit_card
283,2277,2023-02-28 18:15:45,returned,gift_card
284,726,2024-03-11 16:33:41,completed,paypal
285,925,2024-11-21 05:32:49,completed,bank_transfer
286,1517,2024-08-24 06:04:55,completed,bank_transfer
287,454,2023-12-23 21:36:20,completed,bank_transfer
288,1450,2022-07-12 05:02:15,completed,gift_card
289,1336,2023-04-03 21:55:50,completed,gift_card
290,1947,2022-10-20 22:28:36,completed,gift_card
291,1874,2023-09-21 18:07:57,completed,bank_transfer
292,461,2024-04-21 16:49:20,completed,debit_card
293,2109,2024-08-14 14:21:47,completed,debit_card
294,2348,2023-01-25 01:29:53,completed,gift_card
295,1073,2024-07-20 03:51:31,returned,debit_card
296,1413,2024-03-10 14:41:00,completed,bank_transfer
297,1966,2023-05-23 23:47:52,completed,bank_transfer
298,946,2023-04-11 10:45:48,completed,debit_card
299,1729,2024-03-31 13:37:30,completed,debit_card
300,1968,2024-05-01 11:03:10,returned,debit_card
301,562,2023-08-12 12:07:29,cancelled,debit_card
302,14,2023-05-26 14:21:33,completed,paypal
303,1419,2023-10-13 11:22:56,completed,gift_card
304,273,2022-04-23 12:13:58,completed,bank_transfer
305,1890,2024-01-14 12:58:34,returned,debit_card
306,341,2024-07-12 07:19:10,completed,bank_transfer
307,257,2023-10-04 06:36:34,completed,gift_card
308,1960,2023-01-21 10:39:03,completed,gift_card
309,860,2024-03-22 04:58:18,returned,bank_transfer
310,119,2022-03-17 04:05:01,completed,bank_transfer
311,390,2022-06-24 19:40:18,returned,gift_card
312,1520,2024-10-01 11:57:49,cancelled,bank_transfer
313,2427,2022-04-16 06:31:21,completed,credit_card
314,2493,2024-07-14 02:59:01,completed,credit_card
315,892,2022-03-02 07:38:34,returned,bank_transfer
316,1007,2024-09-08 17:54:06,pending,bank_transfer
317,2347,2024-11-17 06:04:39,pending,credit_card
318,1531,2023-01-23 22:51:53,pending,debit_card
319,988,2022-06-13 00:22:47,completed,bank_transfer
320,1291,2023-12-17 04:24:54,completed,gift_card
321,414,2024-11-25 18:17:15,cancelled,credit_card
322,1889,2024-02-07 14:34:49,completed,debit_card
323,1009,2023-04-24 23:41:23,completed,gift_card
324,1932,2024-08-04 06:36:57,completed,credit_card
325,1892,2023-10-25 23:06:19,completed,debit_card
326,555,2024-10-09 07:47:28,completed,debit_card
327,420,2023-06-24 23:04:28,completed,debit_card
328,184,2024-05-06 18:01:59,completed,debit_card
329,972,2023-11-05 19:34:29,cancelled,gift_card
330,1741,2022-09-03 03:50:48,pending,gift_card
331,1658,2023-08-05 17:17:25,completed,credit_card
332,546,2023-12-16 09:37:49,pending,paypal
333,984,2022-06-04 02:09:58,returned,gift_card
334,2353,2024-04-13 07:27:08,completed,paypal
335,877,2022-12-20 15:15:47,completed,credit_card
336,612,2024-07-02 14:32:24,completed,paypal
337,969,2024-03-11 15:04:37,cancelled,paypal
338,41,2023-11-26 16:55:28,completed,bank_transfer
339,2307,2022-01-26 00:56:47,pending,gift_card
340,1850,2022-12-18 05:50:03,completed,credit_card
341,310,2024-03-09 18:02:41,completed,paypal
342,1670,2024-10-21 04:04:23,completed,credit_card
343,593,2023-04-07 10:58:42,completed,paypal
344,742,2023-03-16 21:23:52,completed,credit_card
345,1944,2023-01-05 13:41:00,returned,credit_card
346,921,2023-05-01 17:07:26,completed,credit_card
347,434,2023-01-26 20:56:02,cancelled,credit_card
348,1761,2024-04-08 10:23:45,cancelled,bank_transfer
349,1869,2023-06-15 00:51:37,returned,paypal
350,352,2024-11-09 10:57:03,completed,credit_card
351,809,2023-10-30 08:23:27,completed,bank_transfer
352,647,2022-08-29 08:09:20,returned,bank_transfer
353,2014,2022-10-31 00:31:46,completed,debit_card
354,2247,2024-11-28 13:43:21,completed,debit_card
355,95,2023-09-25 13:59:54,returned,paypal
356,2220,2023-11-21 10:55:48,returned,credit_card
357,2475,2024-01-27 09:26:05,completed,bank_transfer
358,775,2024-10-20 09:27:29,pending,credit_card
359,123,2023-10-30 11:42:39,completed,bank_transfer
360,240,2023-12-17 05:01:21,completed,credit_card
361,577,2022-03-22 19:19:43,completed,bank_transfer
362,388,2022-10-13 20:05:07,cancelled,debit_card
363,1341,2023-12-10 20:33:05,completed,debit_card
364,1878,2022-06-27 01:04:42,completed,paypal
365,282,2023-12-20 03:15:40,completed,credit_card
366,1252,2023-09-27 05:15:17,completed,gift_card
367,1302,2024-10-11 03:41:51,cancelled,paypal
368,314,2024-05-29 16:05:24,completed,bank_transfer
369,1482,2023-02-12 01:19:44,completed,credit_card
370,1550,2022-11-09 04:01:18,completed,credit_card
371,671,2024-01-01 09:20:56,returned,paypal
372,361,2022-09-11 03:40:48,cancelled,bank_transfer
373,924,2023-11-22 21:21:47,pending,debit_card
374,1660,2024-04-09 09:27:15,pending,credit_card
375,660,2024-01-30 11:19:23,completed,debit_card
376,209,2023-09-29 22:15:24,cancelled,bank_transfer
377,256,2023-03-28 03:49:27,returned,gift_card
378,479,2024-07-19 03:53:36,pending,gift_card
379,209,2024-11-05 09:24:25,completed,bank_transfer
380,1396,2024-04-11 12:17:42,returned,paypal
381,459,2024-04-30 03:51:05,completed,credit_card
382,2409,2024-11-02 13:59:17,completed,gift_card
383,29,2023-02-25 10:26:30,returned,credit_card
384,1619,2023-01-17 05:54:28,pending,credit_card
385,1934,2022-12-04 14:09:38,pending,gift_card
386,1666,2023-09-03 05:17:10,completed,credit_card
387,2141,2024-09-02 05:41:58,completed,paypal
388,2461,2022-06-02 00:33:47,completed,paypal
389,1494,2024-09-20 20:01:36,completed,debit_card
390,1335,2023-11-04 04:18:50,pending,debit_card
391,2019,2024-05-16 03:35:08,completed,paypal
392,2452,2024-08-03 05:51:13,completed,gift_card
393,1515,2024-08-28 15:23:43,pending,gift_card
394,1574,2023-07-27 23:45:03,completed,bank_transfer
395,1064,2024-03-18 19:13:36,completed,paypal
396,1643,2024-09-01 15:12:11,cancelled,paypal
397,124,2023-06-24 18:49:25,returned,gift_card
398,2150,2024-06-29 05:16:17,completed,paypal
399,1318,2024-04-22 16:23:32,completed,gift_card
400,989,2024-11-15 19:11:10,completed,paypal
401,2008,2024-05-22 22:05:27,completed,gift_card
402,2225,2024-09-04 04:09:04,completed,debit_card
403,2252,2024-02-01 03:28:57,completed,paypal
404,795,2024-07-01 01:25:56,completed,credit_card
405,1629,2023-10-28 09:28:13,completed,paypal
406,196,2023-09-04 20:30:21,pending,gift_card
407,704,2024-08-13 06:03:04,returned,debit_card
408,2237,2024-06-09 10:58:18,pending,credit_card
409,424,2022-12-18 21:39:50,completed,paypal
410,976,2022-05-12 10:10:33,completed,bank_transfer
411,1003,2023-07-03 02:26:52,completed,paypal
412,2271,2023-08-07 07:34:42,returned,paypal
413,945,2022-09-08 04:35:57,pending,debit_card
414,2034,2024-04-01 07:12:43,completed,gift_card
415,2320,2024-02-16 16:18:58,completed,bank_transfer
416,105,2024-05-21 04:23:09,completed,paypal
417,1101,2024-09-13 05:00:13,completed,credit_card
418,1453,2022-08-15 11:34:14,completed,debit_card
419,203,2024-08-23 16:04:43,completed,bank_transfer
420,2234,2023-11-23 09:15:41,cancelled,debit_card
421,856,2024-12-21 08:32:13,pending,paypal
422,1188,2023-10-08 10:00:36,completed,bank_transfer
423,787,2022-12-18 11:40:26,cancelled,gift_card
424,1307,2024-02-04 02:55:05,pending,bank_transfer
425,1662,2024-05-27 10:55:05,completed,paypal
426,1007,2024-03-20 03:10:28,completed,bank_transfer
427,1679,2024-04-11 00:00:32,completed,debit_card
428,2355,2023-03-26 08:56:32,completed,paypal
429,192,2024-05-09 00:46:27,returned,paypal
430,532,2024-03-11 10:14:41,completed,bank_transfer
431,843,2024-11-16 07:13:02,pending,gift_card
432,563,2024-03-28 03:36:34,completed,debit_card
433,1901,2024-08-20 23:58:29,completed,bank_transfer
434,185,2023-07-23 15:36:13,pending,credit_card
435,774,2022-12-20 10:54:52,cancelled,paypal
436,1095,2022-12-13 18:03:59,completed,paypal
437,1593,2023-06-08 16:20:03,returned,credit_card
438,561,2024-07-22 20:22:03,returned,credit_card
439,1091,2022-05-10 23:46:08,completed,credit_card
440,1141,2024-05-19 11:41:51,pending,bank_transfer
441,1682,2022-07-12 10:41:22,completed,gift_card
442,1440,2024-11-05 15:07:58,completed,gift_card
443,245,2022-11-02 16:29:10,completed,paypal
444,1189,2023-07-06 13:13:43,completed,gift_card
445,1741,2024-11-08 08:56:37,completed,credit_card
446,1723,2024-04-20 17:18:28,returned,debit_card
447,838,2023-09-16 06:09:32,cancelled,bank_transfer
448,1866,2022-05-01 09:33:08,cancelled,bank_transfer
449,286,2024-04-03 05:55:46,returned,credit_card
450,655,2024-10-01 04:22:08,returned,paypal
451,25,2024-12-29 15:23:48,pending,debit_card
452,357,2023-05-02 11:53:58,completed,bank_transfer
453,9,2024-01-24 09:24:37,returned,bank_transfer
454,1139,2024-02-19 01:58:37,cancelled,paypal
455,2162,2024-05-02 01:53:10,completed,gift_card
456,1950,2022-04-22 21:48:42,completed,gift_card
457,269,2024-07-19 05:48:04,completed,paypal
458,79,2024-08-28 05:21:47,returned,bank_transfer
459,452,2022-10-09 17:11:38,completed,gift_card
460,492,2023-09-08 02:04:07,cancelled,paypal
461,665,2024-07-15 13:36:52,completed,gift_card
462,1091,2024-07-13 14:44:53,pending,credit_card
463,1203,2024-06-25 13:40:08,completed,paypal
464,1115,2024-11-10 19:54:28,completed,credit_card
465,810,2022-09-18 08:24:14,completed,credit_card
466,2323,2024-08-29 06:20:30,completed,credit_card
467,2246,2023-05-23 07:50:24,completed,bank_transfer
468,1031,2024-08-12 03:28:56,completed,paypal
469,1187,2024-01-07 01:48:30,cancelled,gift_card
470,1317,2022-11-08 23:08:25,pending,bank_transfer
471,555,2024-08-20 00:24:48,completed,bank_transfer
472,140,2024-01-28 14:38:50,returned,paypal
473,1259,2024-07-11 09:22:47,completed,paypal
474,1658,2022-07-18 00:27:48,completed,gift_card
475,735,2022-04-03 05:20:16,cancelled,debit_card
476,2021,2024-06-02 00:56:04,completed,bank_transfer
477,2492,2022-05-27 17:09:23,cancelled,credit_card
478,324,2023-05-02 11:41:08,pending,gift_card
479,1632,2022-04-07 23:32:32,completed,gift_card
480,52,2024-09-04 11:20:26,completed,debit_card
481,2237,2022-11-03 06:29:18,completed,bank_transfer
482,164,2023-07-24 18:42:17,completed,bank_transfer
483,645,2023-11-24 03:17:47,completed,debit_card
484,2078,2022-05-05 15:43:43,completed,credit_card
485,380,2023-08-01 08:05:44,completed,credit_card
486,2201,2023-06-24 20:09:14,completed,bank_transfer
487,457,2024-04-05 01:10:39,completed,gift_card
488,233,2024-12-25 05:00:33,cancelled,paypal
489,2345,2023-11-26 08:52:45,returned,debit_card
490,1540,2022-01-06 13:13:38,completed,credit_card
491,1532,2024-04-27 20:13:33,completed,credit_card
492,213,2024-03-16 08:36:39,completed,gift_card
493,1090,2022-01-17 22:42:48,returned,bank_transfer
494,241,2024-11-18 08:38:17,cancelled,credit_card
495,820,2024-07-31 13:30:31,returned,gift_card
496,1429,2024-10-06 10:45:02,cancelled,debit_card
497,1307,2023-08-09 20:16:25,returned,debit_card
498,1160,2024-12-08 12:01:16,completed,gift_card
499,2021,2024-10-10 01:54:19,completed,gift_card
500,1214,2024-07-08 23:18:51,completed,gift_card
501,222,2023-12-12 19:10:17,completed,bank_transfer
502,2420,2024-06-17 11:11:56,completed,bank_transfer
503,398,2023-10-18 17:01:21,returned,credit_card
504,2150,2024-08-02 20:57:22,returned,gift_card
505,1321,2024-10-10 09:36:22,cancelled,bank_transfer
506,1942,2022-07-01 19:44:09,completed,paypal
507,1062,2022-03-23 06:46:25,pending,bank_transfer
508,577,2022-04-18 04:58:32,completed,paypal
509,774,2023-04-12 06:22:42,returned,debit_card
510,2421,2024-12-11 05:26:15,returned,credit_card
511,285,2023-02-18 20:03:55,completed,credit_card
512,634,2023-01-13 15:44:48,cancelled,paypal
513,2288,2024-03-11 01:54:22,completed,gift_card
514,220,2022-09-28 18:03:39,completed,credit_card
515,164,2023-07-30 14:44:22,completed,bank_transfer
516,856,2022-10-18 19:01:53,completed,bank_transfer
517,1291,2023-10-05 00:31:02,pending,debit_card
518,2419,2024-07-17 13:52:19,completed,paypal
519,306,2022-08-02 11:59:54,returned,debit_card
520,670,2022-10-09 07:01:51,pending,bank_transfer
521,1189,2023-01-15 14:07:27,returned,credit_card
522,2356,2023-07-10 14:15:03,completed,debit_card
523,1822,2022-11-12 07:19:48,completed,credit_card
524,1574,2024-05-03 04:49:15,completed,credit_card
525,2142,2024-09-13 11:44:27,completed,debit_card
526,293,2024-04-29 13:55:50,completed,debit_card
527,282,2024-11-15 21:26:05,returned,gift_card
528,1097,2023-09-30 07:43:28,returned,gift_card
529,2191,2023-04-03 01:06:24,returned,debit_card
530,1995,2022-10-04 09:55:48,completed,paypal
531,1450,2024-02-13 17:55:06,completed,bank_transfer
532,956,2024-05-21 12:52:49,returned,bank_transfer
533,2104,2024-06-18 09:43:56,cancelled,bank_transfer
534,652,2023-05-17 23:32:44,pending,paypal
535,1544,2024-08-26 22:40:19,pending,debit_card
536,405,2024-07-02 07:00:27,cancelled,credit_card
