order_date,active_customers,completed_orders,net_revenue,revenue_per_active_customer,active_customers_4_week_ma,revenue_4_week_ma
2023-12-31,42,44,69118.711,1645.6835952380952,37.25,56601.200625
2024-01-07,39,39,35021.0935,897.9767564102565,35.5,53252.11687499999
2024-01-14,46,46,39579.099,860.4151956521739,38.5,42230.624874999994
2024-01-21,47,48,75931.69649999999,1615.5680106382977,43.5,54912.649999999994
2024-01-28,38,39,47494.525499999996,1249.8559342105261,42.5,49506.60362499999
2024-02-04,45,45,78104.996,1735.6665777777778,44.0,60277.57924999999
2024-02-11,37,38,44047.1035,1190.4622567567567,41.75,61394.58037499999
2024-02-18,32,32,75590.377,2362.19928125,38.0,61309.250499999995
2024-02-25,48,48,49143.4765,1023.8224270833333,40.5,61721.488249999995
2024-03-03,32,33,50122.9725,1566.342890625,37.25,54725.98237499999
2024-03-10,35,35,37822.8125,1080.6517857142858,36.75,53169.90962499999
2024-03-17,44,44,54487.02199999999,1238.3414090909089,39.75,47894.07087499999
2024-03-24,41,41,50701.7275,1236.6275,38.0,48283.63362499999
2024-03-31,32,32,98603.739,3081.36684375,38.0,60403.82524999999
2024-04-07,30,30,34631.145,1154.3715,36.75,59605.908374999985
2024-04-14,48,48,55946.171,1165.5452291666668,37.75,59970.695624999986
2024-04-21,33,33,153697.1545,4657.489530303031,35.75,85719.552375
2024-04-28,57,57,52340.114,918.2476140350877,42.0,74153.646125
2024-05-05,37,38,42784.7235,1156.3438783783783,43.75,76192.04075
2024-05-12,47,47,53126.711,1130.3555531914894,43.5,75487.17575
2024-05-19,39,39,44177.591,1132.7587435897435,45.0,48107.284875
2024-05-26,40,42,120438.221,3010.9555250000003,40.75,65131.811624999995
2024-06-02,43,44,100758.8885,2343.229965116279,42.25,79625.352875
2024-06-09,51,51,52270.283,1024.9075098039216,43.25,79411.245875
2024-06-16,32,33,44564.244,1392.632625,41.5,79507.90912499999
2024-06-23,45,45,163437.201,3631.9378,42.75,90257.654125
2024-06-30,44,46,76690.572,1742.9675454545454,43.0,84240.575
2024-07-07,67,69,67317.442,1004.7379402985074,47.0,88002.36475
2024-07-14,38,39,41046.291,1080.165552631579,48.5,87122.87649999998
2024-07-21,40,40,43444.942,1086.12355,47.25,57124.81174999999
2024-07-28,52,52,57724.887,1110.0939807692307,49.25,52383.390499999994
2024-08-04,50,52,59971.1205,1199.42241,45.0,50546.81012499999
2024-08-11,45,45,51723.668,1149.4148444444445,46.75,53216.15437499999
2024-08-18,53,54,139784.103,2637.4359056603776,50.0,77300.94462499999
2024-08-25,60,60,146937.27899999998,2448.9546499999997,52.0,99604.04262499999
2024-09-01,44,46,82221.7035,1868.6750795454545,50.5,105166.68837499998
2024-09-08,40,40,37894.3245,947.3581125000001,49.25,101709.35249999998
2024-09-15,52,52,60405.294,1161.6402692307693,49.0,81864.65024999998
2024-09-22,47,47,33438.731,711.4623617021276,45.75,53490.013249999996
2024-09-29,45,47,112918.05850000001,2509.290188888889,46.0,61164.102
2024-10-06,59,60,62817.437,1064.7023220338983,50.75,67394.880125
2024-10-13,61,61,61287.2625,1004.7092213114754,53.0,67615.37225
2024-10-20,53,53,56846.6785,1072.5788396226415,54.5,73467.35912499999
2024-10-27,54,57,74547.3345,1380.5061944444444,56.75,63874.67812499999
2024-11-03,47,47,45989.2235,978.4941170212766,53.75,59667.62474999999
2024-11-10,51,51,123022.1065,2412.1981666666666,51.25,75101.33575
2024-11-17,44,45,101495.125,2306.7073863636365,49.0,86263.44737499999
2024-11-24,45,45,61465.9455,1365.9099,46.75,82993.100125
2024-12-01,47,48,52493.481,1116.882574468085,46.75,84619.16449999998
2024-12-08,54,54,48198.1275,892.5579166666668,47.5,65913.16975
2024-12-15,51,51,59264.255,1162.0442156862744,49.25,55355.452249999995
2024-12-22,46,47,48677.973,1058.2168043478262,49.5,52158.459124999994
2024-12-29,42,44,57431.545,1367.417738095238,48.25,53392.97512499999
2025-01-05,25,26,59761.2975,2390.4519,41.0,56283.76762499999
