order_item_id,order_id,product_id,quantity,unit_price,discount
6614,2910,11,3,216.27,0.0
6638,2919,108,1,378.75,0.0
6763,2977,260,3,619.66,0.0
6895,3037,94,1,514.73,0.05
7045,3096,281,1,146.98,0.0
7145,3139,46,1,397.56,0.0
7226,3174,180,1,843.45,0.1
7354,3236,250,1,8284.0,0.15
7551,3320,129,1,492.47,0.0
7578,3332,8,1,295.82,0.0
7586,3336,97,1,628.48,0.0
7809,3431,29,1,103.82,0.0
7849,3448,237,1,335.88,0.05
7967,3506,60,1,148.68,0.0
8074,3558,253,2,621.95,0.1
8365,3682,117,1,567.69,0.1
8393,3696,80,1,166.05,0.1
8518,3752,267,1,253.7,0.0
8581,3780,219,1,211.99,0.2
8669,3821,11,2,216.27,0.0
8958,3937,37,-1,608.8,0.0
9071,3986,152,1,910.86,0.0
9411,4133,109,1,59.23,0.0
9613,4223,231,2,410.59,0.0
9767,4288,87,1,564.0,0.2
9833,4317,78,1,213.82,0.0
9837,4318,166,2,278.38,0.15
9868,4334,59,2,287.12,0.1
10126,4440,39,1,412.64,0.0
10338,4534,218,2,127.17,0.0
10448,4580,151,1,625.19,0.05
10539,4627,207,1,518.71,0.0
10612,4666,284,3,228.9,0.1
10726,4717,275,1,82.62,0.05
10856,4774,79,1,308.93,0.0
10948,4814,98,1,71.96,0.0
11149,4899,15,1,536.46,0.1
11417,5009,269,2,603.81,0.0
11479,5038,295,1,139.02,0.0
11555,5074,55,2,395.52,0.0
11647,5111,254,1,286.86,0.0
11704,5136,103,1,456.96,0.0
11714,5140,157,1,701.5,0.0
11757,5158,133,1,479.79,0.1
11772,5163,98,1,71.96,0.0
12023,5283,235,1,370.09,0.15
12027,5284,66,2,447.18,0.2
12128,5334,38,1,364.99,0.0
12164,5347,83,1,243.1,0.05
12250,5385,89,1,247.06,0.0
12585,5533,221,1,704.75,0.05
12590,5534,233,1,82.49,0.0
12629,5553,124,1,640.23,0.0
12673,5572,246,1,574.84,0.0
12733,5605,59,1,287.12,0.1
12766,5621,260,1,619.66,0.05
12862,5668,117,-1,567.69,0.05
12887,5676,203,1,431.09,0.0
13258,5848,247,1,708.26,0.0
13323,5878,196,1,518.75,0.0
13336,5884,229,1,690.53,0.1
13412,5922,165,1,605.76,0.0
13509,5963,5,1,503.34,0.05
13584,5997,6,1,531.19,0.0
13670,6036,143,1,421.93,0.05
13691,6045,89,3,247.06,0.0
13790,6088,239,1,517.8,0.05
13810,6095,66,1,447.18,0.0
13878,6132,42,1,328.75,0.0
14029,6204,38,1,364.99,0.0
14203,6284,87,1,564.0,0.0
14352,6353,300,1,133.29,0.0
14392,6369,168,1,649.6,0.0
14454,6397,102,1,396.98,0.0
14552,6441,222,2,264.61,0.0
14740,6530,212,1,445.65,0.0
14925,6614,175,1,600.57,0.05
14979,6635,68,1,133.13,0.0
15075,6675,68,1,133.13,0.1
15249,6757,29,2,103.82,0.0
15465,6848,41,1,376.48,0.0
15500,6862,258,1,626.09,0.0
15530,6875,64,1,29.71,0.0
15701,6953,54,1,679.71,0.2
15742,6971,1,1,433.54,0.05
15809,6997,170,1,723.66,0.05
15908,7042,263,1,222.36,0.0
16148,7154,214,1,304.46,0.0
16156,7157,294,1,141.94,0.0
16247,7189,14,1,90.93,0.05
16411,7262,151,2,625.19,0.05
16559,7329,72,1,286.08,0.1
16601,7350,77,1,103.53,0.2
16651,7370,17,2,953.82,0.1
16687,7385,251,1,439.11,0.0
17090,7584,163,1,598.68,0.05
17144,7606,36,1,749.87,0.0
17212,7632,246,1,574.84,0.0
17292,7670,47,1,513.39,0.1
17306,7675,231,1,410.59,0.0
17341,7690,259,1,533.22,0.0
17762,7868,2,3,807.37,0.0
17980,7967,141,1,251.45,0.0
18008,7980,69,2,274.11,0.15
18028,7986,63,-1,430.39,0.0
18053,7997,260,1,619.66,0.0
18175,8050,96,3,682.77,0.0
18309,8115,255,2,249.2,0.1
18623,8251,265,3,839.64,0.1
18656,8267,228,1,162.75,0.0
18657,8267,228,1,162.75,0.0
18737,8300,215,1,501.1,0.05
18845,8350,182,1,500.91,0.0
18930,8389,78,1,213.82,0.0
18959,8400,136,1,974.39,0.0
18980,8408,112,1,10.73,0.0
19061,8437,168,1,649.6,0.0
19160,8480,49,1,850.7,0.0
19194,8493,193,1,351.11,0.0
19260,8521,65,1,460.75,0.0
19342,8558,211,1,943.9,0.0
19556,8651,102,1,396.98,0.15
19591,8666,291,1,19.78,0.05
19859,8785,188,1,550.0,0.0
19921,8813,265,1,839.64,0.0
20140,8902,107,1,963.92,0.0
20187,8925,22,1,205.71,0.2
20197,8929,93,2,98.57,0.15
20215,8937,150,1,182.12,0.0
20220,8938,133,1,479.79,0.0
