category,product_id,name,net_revenue,revenue_rank
Electronics,3,Start Accessorie,41350.92,1
Electronics,2,Maintain Laptop,39722.6,2
Electronics,21,Right Camera,37345.79,3
Electronics,36,Work Smartphone,35506.34,4
Electronics,27,Into Laptop,34445.53,5
Electronics,15,Sea Headphone,34279.79,6
Electronics,17,Light Laptop,32716.03,7
Electronics,19,Improve Smartphone,32570.5,8
Electronics,49,Left Laptop,32156.46,9
Electronics,28,Series Accessorie,31728.2,10
Electronics,31,Wide Laptop,30957.27,11
Electronics,5,Yeah Smartphone,28388.38,12
Electronics,24,Concern Headphone,27460.62,13
Electronics,47,Central Camera,25361.47,14
Electronics,20,Arm Accessorie,24764.32,15
Electronics,34,Television Laptop,20949.52,16
Electronics,6,Important Laptop,20344.58,17
Electronics,45,Beautiful Camera,20302.18,18
Electronics,32,East Smartphone,19864.08,19
Electronics,37,Executive Laptop,18842.36,20
Electronics,46,Reflect Laptop,18466.66,21
Electronics,30,Hospital Laptop,18394.9,22
Electronics,35,Wide Camera,17848.89,23
Electronics,7,Beyond Accessorie,16262.61,24
Electronics,39,Yeah Laptop,15866.01,25
Electronics,1,Black Camera,15802.53,26
Electronics,41,Rest Smartphone,15567.45,27
Electronics,38,Say Camera,15457.33,28
Electronics,8,Plant Smartphone,15456.59,29
Electronics,25,Protect Headphone,14443.07,30
Electronics,11,Change Smartphone,13549.32,31
Electronics,10,After Laptop,12957.16,32
Electronics,16,Yes Smartphone,12909.43,33
Electronics,50,Wear Headphone,11068.61,34
Electronics,22,Scientist Smartphone,11005.49,35
Electronics,33,Forward Accessorie,10124.44,36
Electronics,23,Cost Headphone,9978.84,37
Electronics,48,Court Camera,9299.54,38
Electronics,26,Agent Laptop,9141.09,39
Electronics,42,Cost Camera,8103.69,40
Electronics,40,Because Laptop,7674.89,41
Electronics,12,Get Smartphone,7132.13,42
Electronics,13,Support Headphone,5629.92,43
Electronics,29,Pressure Accessorie,5201.38,44
Electronics,43,A Laptop,4289.91,45
Electronics,9,Right Laptop,3445.0,46
Electronics,14,Find Headphone,3241.65,47
Electronics,18,Rest Camera,1544.51,48
Electronics,4,Movement Headphone,983.86,49
Electronics,44,Walk Camera,300.66,50
Home & Kitchen,95,They Appliance,36331.26,1
Home & Kitchen,51,Former Cookware,36217.11,2
Home & Kitchen,97,Black Appliance,35729.09,3
Home & Kitchen,96,Mind Decor,35265.07,4
Home & Kitchen,81,Real Furniture,34003.79,5
Home & Kitchen,86,Less Decor,30763.66,6
Home & Kitchen,76,Cover Furniture,27486.62,7
Home & Kitchen,54,We Decor,26372.75,8
Home & Kitchen,57,Try Cookware,23682.1,9
Home & Kitchen,85,Event Furniture,22209.8,10
Home & Kitchen,87,Property Furniture,22024.2,11
Home & Kitchen,66,Wide Cookware,21621.15,12
Home & Kitchen,65,Scene Appliance,20733.75,13
Home & Kitchen,94,Animal Appliance,20280.36,14
Home & Kitchen,71,Green Furniture,20191.53,15
Home & Kitchen,72,Difficult Cookware,19095.84,16
Home & Kitchen,73,Travel Appliance,18552.73,17
Home & Kitchen,91,Almost Decor,18160.13,18
Home & Kitchen,61,Trade Appliance,17638.94,19
Home & Kitchen,63,Song Appliance,17559.91,20
Home & Kitchen,99,Level Decor,17315.92,21
Home & Kitchen,67,Apply Furniture,16722.6,22
Home & Kitchen,70,Bring Furniture,16442.21,23
Home & Kitchen,55,Others Cookware,15306.62,24
Home & Kitchen,88,Voice Decor,14833.82,25
Home & Kitchen,69,Front Decor,14678.59,26
Home & Kitchen,62,Key Furniture,13262.74,27
Home & Kitchen,82,Rich Furniture,12740.01,28
Home & Kitchen,75,Wonder Decor,12166.2,29
Home & Kitchen,59,Action Furniture,12145.18,30
Home & Kitchen,89,Prepare Cookware,11648.88,31
Home & Kitchen,83,Rich Furniture,11328.46,32
Home & Kitchen,100,Sea Appliance,10621.88,33
Home & Kitchen,90,Group Furniture,10073.16,34
Home & Kitchen,78,Unit Cookware,8809.38,35
Home & Kitchen,74,Serve Appliance,8679.84,36
Home & Kitchen,80,Success Furniture,8161.36,37
Home & Kitchen,68,Bar Appliance,8154.21,38
Home & Kitchen,53,Student Decor,7858.72,39
Home & Kitchen,79,Hand Furniture,7445.21,40
Home & Kitchen,56,Heavy Appliance,7098.57,41
Home & Kitchen,60,Coach Furniture,6854.15,42
Home & Kitchen,92,Left Furniture,5928.88,43
Home & Kitchen,93,Fear Appliance,4982.71,44
Home & Kitchen,58,Artist Appliance,4036.05,45
Home & Kitchen,98,Southern Appliance,3180.63,46
Home & Kitchen,77,What Furniture,3012.72,47
Home & Kitchen,64,Task Appliance,1968.29,48
Home & Kitchen,84,Per Cookware,1544.4,49
Home & Kitchen,52,Still Cookware,642.72,50
Sports & Outdoors,190,Over Cycling,43541.7,1
Sports & Outdoors,157,First Camping,42861.65,2
Sports & Outdoors,152,Soon Camping,37254.17,3
Sports & Outdoors,159,Positive Camping,36046.11,4
Sports & Outdoors,183,High Camping,33805.12,5
Sports & Outdoors,170,Offer Team Sport,33143.63,6
Sports & Outdoors,180,Grow Team Sport,31629.38,7
Sports & Outdoors,173,Soon Fitnes,30266.55,8
Sports & Outdoors,174,Social Cycling,26983.01,9
Sports & Outdoors,168,Wait Camping,26601.12,10
Sports & Outdoors,155,Away Camping,26541.63,11
Sports & Outdoors,165,Up Cycling,26532.29,12
Sports & Outdoors,192,Participant Camping,26236.9,13
Sports & Outdoors,197,Own Camping,25242.31,14
Sports & Outdoors,185,Avoid Camping,24510.2,15
Sports & Outdoors,175,Either Fitnes,24202.97,16
Sports & Outdoors,188,Involve Fitnes,23870.0,17
Sports & Outdoors,196,Information Cycling,23784.69,18
Sports & Outdoors,163,Ready Cycling,23378.45,19
Sports & Outdoors,151,Say Fitnes,22569.36,20
Sports & Outdoors,182,Answer Fitnes,21363.81,21
Sports & Outdoors,153,Feel Cycling,21347.79,22
Sports & Outdoors,179,Our Camping,21180.26,23
Sports & Outdoors,169,Contain Cycling,20864.18,24
Sports & Outdoors,191,Yeah Camping,20070.15,25
Sports & Outdoors,200,White Fitnes,19377.3,26
Sports & Outdoors,164,Great Team Sport,18711.7,27
Sports & Outdoors,186,Along Fitnes,18059.3,28
Sports & Outdoors,178,Rich Cycling,16893.6,29
Sports & Outdoors,166,Power Fitnes,14976.84,30
Sports & Outdoors,156,Occur Camping,14352.8,31
Sports & Outdoors,193,Add Camping,14149.73,32
Sports & Outdoors,158,Produce Cycling,13142.6,33
Sports & Outdoors,198,Later Cycling,12183.72,34
Sports & Outdoors,184,Important Cycling,11289.12,35
Sports & Outdoors,176,Where Cycling,8783.13,36
Sports & Outdoors,194,Quickly Fitnes,8721.05,37
Sports & Outdoors,160,Where Camping,8465.64,38
Sports & Outdoors,177,Hour Camping,7150.3,39
Sports & Outdoors,187,Artist Team Sport,6569.85,40
Sports & Outdoors,162,Do Team Sport,5516.71,41
Sports & Outdoors,154,Attack Cycling,4939.54,42
Sports & Outdoors,195,After Fitnes,4225.71,43
Sports & Outdoors,172,Half Team Sport,3565.5,44
Sports & Outdoors,199,Yes Fitnes,3330.3,45
Sports & Outdoors,161,Between Fitnes,3012.13,46
Sports & Outdoors,181,Choice Team Sport,1767.91,47
Sports & Outdoors,167,Practice Fitnes,1541.36,48
Sports & Outdoors,189,Message Team Sport,1143.61,49
Sports & Outdoors,171,Her Camping,550.9,50
